alpha,beta,gamma,conf_no,rmsd1,rmsd2
46.3,31.4,30.3,5422,0.44,0.48
69.9,27.6,13.5,5423,0.44,0.63
35.7,12.2,41.4,5424,0.44,0.65
7.4,80.8,-12.4,5425,0.67,0.51
121.8,-48.2,-39.8,5426,0.44,0.58
62.2,23.1,12.1,5427,0.44,0.48
37.7,29.0,46.2,5428,0.44,0.5
73.6,77.9,-17.2,5429,0.61,0.48
10.9,10.5,65.7,5430,0.44,0.66
16.0,26.9,63.9,5431,0.44,0.51
71.3,25.8,13.4,5432,0.44,0.52
-6.1,36.2,110.0,5433,0.44,0.48
78.9,21.5,-14.7,5434,0.44,0.58
40.6,18.7,24.9,5435,0.44,0.48
12.4,15.6,60.3,5436,0.44,0.72
56.4,14.8,2.9,5437,0.44,0.49
36.4,20.3,37.2,5438,0.49,0.68
-18.4,27.5,106.7,5439,0.44,0.48
67.8,15.2,-7.6,5440,0.44,0.49
63.3,19.7,-9.0,5441,0.44,0.49
68.4,45.9,8.5,5442,0.59,0.48
58.1,17.4,1.4,5443,0.44,0.58
58.8,24.7,28.7,5444,0.44,0.58
-8.3,16.0,68.9,5445,0.44,0.49
3.2,16.2,72.0,5446,0.44,0.5
66.7,29.9,29.0,5447,0.65,0.48
43.1,9.0,20.5,5448,0.44,0.49
34.3,35.7,63.0,5449,0.46,0.5
-10.3,61.4,46.8,5450,0.45,0.49
66.1,22.0,19.5,5451,0.44,0.49
26.1,27.7,52.6,5452,0.44,0.48
62.5,47.9,3.7,5453,0.44,0.48
84.1,24.0,-40.2,5454,0.45,0.74
69.8,19.1,15.8,5455,0.44,0.62
17.1,13.7,59.0,5456,0.44,0.48
-1.0,18.7,82.1,5457,0.44,0.48
78.6,33.5,-0.3,5458,0.44,0.64
-2.5,26.2,86.0,5459,0.45,0.48
26.8,31.9,60.0,5460,0.45,0.49
-6.7,20.6,89.1,5461,0.44,0.48
28.2,29.8,67.3,5462,0.45,0.55
72.1,17.0,-17.4,5463,0.44,0.68
101.0,17.5,-44.9,5464,0.45,0.68
12.8,55.7,67.0,5465,0.46,0.6
12.5,43.8,79.9,5466,0.67,0.48
18.6,41.4,-4.5,5467,0.63,0.48
25.1,28.1,78.9,5468,0.45,0.48
17.3,32.1,78.0,5469,0.45,0.48
55.6,14.5,4.6,5470,0.44,0.7
58.1,23.1,26.4,5471,0.44,0.48
26.7,58.7,30.3,5472,0.44,0.49
54.6,21.6,20.6,5473,0.45,0.59
36.5,18.1,42.0,5474,0.44,0.64
42.6,22.9,15.6,5475,0.44,0.56
88.8,30.4,-9.4,5476,0.44,0.62
22.2,33.0,76.5,5477,0.44,0.48
-6.8,31.1,103.0,5478,0.44,0.48
72.4,53.6,-2.0,5479,0.48,0.49
17.5,26.2,52.7,5480,0.44,0.65
42.5,16.9,15.5,5481,0.44,0.67
19.4,30.1,74.7,5482,0.44,0.48
54.9,21.1,20.8,5483,0.44,0.49
82.2,35.7,13.6,5484,0.5,0.48
-26.2,33.6,113.3,5485,0.44,0.51
-11.4,47.4,107.7,5486,0.44,0.48
18.3,25.5,49.7,5487,0.44,0.5
4.1,26.7,85.1,5488,0.45,0.49
13.2,15.2,50.5,5489,0.44,0.49
42.0,40.7,38.7,5490,0.44,0.48
1.2,18.8,85.8,5491,0.44,0.69
61.3,41.6,15.0,5492,0.44,0.48
15.3,29.1,84.5,5493,0.61,0.5
53.5,8.8,-5.4,5494,0.44,0.77
48.1,29.1,42.3,5495,0.44,0.48
26.7,42.6,61.6,5496,0.44,0.51
80.3,56.6,-14.4,5497,0.44,0.49
46.4,18.8,7.3,5498,0.44,0.49
12.1,17.6,71.5,5499,0.44,0.49
70.0,45.8,-13.0,5500,0.76,0.6
121.0,-31.3,-47.9,5501,0.45,0.5
91.9,23.5,-38.6,5502,0.46,0.48
48.3,29.1,45.9,5503,0.44,0.49
2.3,22.0,97.4,5504,0.46,0.48
-27.7,28.3,119.6,5505,0.44,0.53
46.0,26.4,53.6,5506,0.49,0.5
10.4,23.1,68.0,5507,0.44,0.52
69.5,37.0,-3.7,5508,0.44,0.48
6.2,20.1,69.9,5509,0.44,0.51
49.1,17.1,-8.4,5510,0.44,0.5
-5.2,20.3,73.8,5511,0.44,0.48
-40.4,13.6,87.4,5512,0.44,0.49
8.7,32.6,95.2,5513,0.45,0.48
32.4,22.5,27.0,5514,0.44,0.53
58.4,12.6,-15.3,5515,0.44,0.73
3.0,21.4,79.8,5516,0.44,0.52
-23.2,37.1,120.1,5517,0.44,0.48
11.0,16.1,59.8,5518,0.44,0.48
37.7,33.8,46.5,5519,0.44,0.48
39.2,21.9,45.1,5520,0.44,0.48
-41.3,40.1,101.8,5521,0.48,0.49
49.1,26.2,42.5,5522,0.44,0.51
2.1,24.7,75.2,5523,0.44,0.48
-4.9,16.8,91.1,5524,0.44,0.61
-9.9,15.2,95.5,5525,0.44,0.48
9.8,31.3,81.7,5526,0.44,0.49
38.8,28.2,45.4,5527,0.69,0.48
-41.3,43.9,136.5,5528,0.47,0.5
64.8,18.7,8.7,5529,0.44,0.73
75.5,28.8,2.3,5530,0.44,0.49
59.9,16.0,-8.6,5531,0.44,0.67
44.7,6.7,0.9,5532,0.44,0.74
54.7,30.4,45.2,5533,0.44,0.48
71.9,56.0,6.1,5534,0.45,0.5
-43.7,38.7,117.6,5535,0.44,0.49
66.8,18.0,-8.2,5536,0.44,0.68
59.3,23.2,12.5,5537,0.44,0.48
45.2,24.3,27.0,5538,0.44,0.48
33.0,32.4,62.4,5539,0.45,0.49
57.8,64.7,-10.1,5540,0.57,0.48
16.0,16.5,62.3,5541,0.44,0.48
18.5,19.4,64.7,5542,0.44,0.51
47.7,22.5,31.9,5543,0.44,0.69
65.8,21.4,14.3,5544,0.44,0.49
63.2,13.9,-5.8,5545,0.44,0.6
67.8,21.8,7.1,5546,0.44,0.48
53.7,40.2,36.2,5547,0.44,0.48
-11.1,10.7,84.3,5548,0.44,0.63
36.8,18.4,46.7,5549,0.44,0.51
-23.7,27.2,109.8,5550,0.44,0.48
84.0,24.1,-36.3,5551,0.45,0.49
38.0,36.0,62.5,5552,0.45,0.48
64.7,30.4,30.9,5553,0.44,0.48
11.8,28.5,81.2,5554,0.45,0.49
45.4,23.5,47.6,5555,0.63,0.49
62.0,18.9,-26.7,5556,0.44,0.66
6.1,20.8,71.8,5557,0.44,0.48
47.6,27.8,53.7,5558,0.48,0.48
45.9,21.7,40.9,5559,0.44,0.62
-73.7,-35.3,84.4,5560,0.65,0.75
65.7,19.2,-3.7,5561,0.44,0.49
-7.6,33.4,114.5,5562,0.57,0.48
45.6,34.6,52.2,5563,0.44,0.48
-35.6,36.0,124.2,5564,0.44,0.5
45.9,26.4,31.0,5565,0.44,0.49
48.2,42.7,28.5,5566,0.45,0.48
78.4,23.0,-31.2,5567,0.45,0.72
37.4,7.7,15.6,5568,0.44,0.48
80.4,16.4,-29.4,5569,0.45,0.74
16.4,32.0,90.2,5570,0.45,0.5
5.6,22.7,60.1,5571,0.45,0.7
53.1,16.1,20.7,5572,0.44,0.48
-17.7,35.3,111.9,5573,0.44,0.5
-1.9,12.4,64.2,5574,0.44,0.69
-24.3,36.9,95.0,5575,0.6,0.48
-15.3,21.1,92.4,5576,0.44,0.49
-17.4,4.7,76.5,5577,0.44,0.58
31.2,20.1,62.4,5578,0.44,0.48
80.4,23.6,-15.6,5579,0.44,0.58
60.7,27.2,28.9,5580,0.44,0.5
56.3,47.2,18.2,5581,0.54,0.48
68.9,39.9,16.4,5582,0.44,0.48
2.9,12.6,60.0,5583,0.44,0.65
87.8,45.3,2.6,5584,0.47,0.49
24.2,37.3,70.2,5585,0.45,0.48
53.6,6.4,0.3,5586,0.44,0.55
55.7,26.0,27.4,5587,0.44,0.66
58.3,34.7,33.8,5588,0.44,0.48
52.3,40.0,37.2,5589,0.44,0.48
88.8,11.5,-40.9,5590,0.44,0.7
70.5,15.1,-16.1,5591,0.44,0.66
90.5,-50.1,-79.5,5592,0.45,0.49
49.8,43.2,40.1,5593,0.44,0.51
83.4,24.5,-18.0,5594,0.44,0.57
17.3,28.3,83.8,5595,0.59,0.53
75.1,77.8,-19.5,5596,0.59,0.48
65.5,24.4,2.5,5597,0.44,0.48
7.9,22.5,81.9,5598,0.64,0.5
95.9,44.8,-57.4,5599,0.53,0.49
13.2,35.4,89.6,5600,0.45,0.49
60.4,42.3,19.4,5601,0.44,0.49
48.1,29.7,43.9,5602,0.44,0.48
-19.9,21.9,102.3,5603,0.44,0.48
34.7,32.8,64.2,5604,0.44,0.49
77.8,24.6,8.2,5605,0.44,0.48
72.8,-37.6,-70.9,5606,0.44,0.79
-18.2,18.2,82.8,5607,0.44,0.5
81.3,12.0,-30.8,5608,0.44,0.81
25.4,18.4,34.3,5609,0.44,0.49
24.8,45.8,80.2,5610,0.46,0.48
46.3,28.6,24.3,5611,0.44,0.5
9.4,25.7,74.4,5612,0.45,0.64
46.7,34.6,52.5,5613,0.44,0.48
45.2,7.3,6.0,5614,0.44,0.84
79.7,24.0,2.5,5615,0.44,0.49
63.3,29.2,27.6,5616,0.44,0.48
48.5,31.4,36.4,5617,0.44,0.48
31.8,33.1,64.6,5618,0.44,0.48
60.2,15.8,-3.9,5619,0.44,0.5
30.4,16.6,42.5,5620,0.44,0.48
33.2,22.6,40.1,5621,0.44,0.55
65.3,31.7,30.7,5622,0.45,0.48
-64.4,47.7,104.6,5623,0.44,0.72
17.1,35.4,80.6,5624,0.64,0.5
-33.7,27.6,127.1,5625,0.44,0.51
55.9,16.2,19.2,5626,0.44,0.68
112.9,-13.9,-60.0,5627,0.57,0.49
5.8,34.6,87.6,5628,0.68,0.49
81.1,22.9,-16.8,5629,0.44,0.57
13.7,35.0,85.8,5630,0.45,0.48
53.5,35.5,47.5,5631,0.46,0.49
19.3,33.3,73.7,5632,0.45,0.48
71.1,18.4,-15.7,5633,0.44,0.5
-4.9,15.9,89.0,5634,0.44,0.69
81.6,23.6,-11.1,5635,0.44,0.7
12.6,65.9,97.8,5636,0.5,0.52
77.1,32.0,13.2,5637,0.62,0.48
-10.3,17.4,77.5,5638,0.44,0.48
53.4,35.8,27.2,5639,0.44,0.49
51.0,15.6,23.7,5640,0.44,0.68
28.8,13.3,29.0,5641,0.44,0.65
68.3,31.6,17.6,5642,0.59,0.54
23.2,26.9,54.4,5643,0.45,0.49
51.9,17.7,13.4,5644,0.44,0.71
-12.0,36.0,109.5,5645,0.44,0.49
68.2,24.4,7.0,5646,0.44,0.72
7.2,81.3,49.6,5647,0.45,0.59
54.2,30.2,28.6,5648,0.8,0.48
81.5,36.7,11.4,5649,0.45,0.48
-5.7,73.5,3.7,5650,0.6,0.49
77.3,23.0,8.6,5651,0.44,0.48
28.1,33.0,59.4,5652,0.45,0.54
84.4,33.2,-6.5,5653,0.44,0.48
74.6,54.7,0.3,5654,0.46,0.48
50.0,44.3,37.0,5655,0.44,0.48
80.3,21.0,-17.3,5656,0.44,0.68
-12.2,22.7,96.1,5657,0.44,0.5
55.7,22.5,15.5,5658,0.44,0.49
3.7,25.2,81.2,5659,0.44,0.57
54.0,10.3,-2.5,5660,0.44,0.7
69.9,33.3,28.7,5661,0.44,0.48
10.9,32.4,88.9,5662,0.45,0.49
22.3,20.0,66.9,5663,0.44,0.48
40.0,19.0,22.0,5664,0.44,0.48
39.5,15.8,35.1,5665,0.44,0.73
56.5,26.1,39.4,5666,0.44,0.48
58.0,28.9,29.4,5667,0.44,0.49
50.7,25.4,10.0,5668,0.44,0.49
42.0,24.1,30.2,5669,0.44,0.5
-24.5,27.3,105.7,5670,0.46,0.48
-16.1,33.9,120.1,5671,0.44,0.48
30.4,32.8,70.1,5672,0.45,0.54
-24.7,39.8,129.8,5673,0.44,0.5
54.3,19.5,30.5,5674,0.44,0.51
78.6,30.0,-20.5,5675,0.44,0.49
29.1,27.7,61.9,5676,0.44,0.48
-10.6,30.9,106.5,5677,0.44,0.49
28.4,23.4,49.5,5678,0.44,0.68
21.9,34.4,83.0,5679,0.45,0.48
38.8,43.5,47.9,5680,0.45,0.48
39.3,8.1,19.7,5681,0.44,0.67
31.8,36.0,58.7,5682,0.44,0.48
11.7,23.4,61.7,5683,0.45,0.48
81.6,22.5,-2.3,5684,0.44,0.72
33.3,17.8,43.3,5685,0.44,0.48
29.7,32.3,66.7,5686,0.45,0.5
-33.3,82.3,-8.7,5687,0.44,0.48
87.7,27.2,-4.1,5688,0.44,0.52
-30.2,29.2,117.8,5689,0.44,0.48
0.4,39.3,98.5,5690,0.46,0.48
8.4,19.6,75.9,5691,0.44,0.73
40.4,24.8,50.0,5692,0.44,0.5
-15.7,23.3,88.7,5693,0.44,0.69
-15.4,21.0,90.4,5694,0.44,0.68
-0.2,36.6,91.2,5695,0.44,0.48
-15.0,31.0,101.2,5696,0.7,0.48
96.9,26.1,-57.3,5697,0.48,0.49
29.2,34.9,64.5,5698,0.45,0.49
-20.8,35.0,120.8,5699,0.44,0.49
29.7,39.7,47.9,5700,0.45,0.48
75.2,12.3,-14.2,5701,0.44,0.59
106.9,-6.5,-73.0,5702,0.44,0.49
76.7,36.7,19.4,5703,0.45,0.5
21.9,22.7,63.2,5704,0.44,0.49
-35.4,35.4,116.4,5705,0.44,0.5
60.4,26.7,37.5,5706,0.49,0.5
-20.6,19.1,95.9,5707,0.44,0.68
9.7,36.0,82.9,5708,0.45,0.48
20.8,36.2,64.7,5709,0.44,0.53
30.1,20.0,26.2,5710,0.44,0.49
-4.8,35.5,93.0,5711,0.44,0.48
26.5,32.2,65.3,5712,0.45,0.51
69.2,22.4,-5.3,5713,0.44,0.6
26.1,30.6,71.8,5714,0.44,0.48
-23.4,47.6,116.1,5715,0.68,0.63
7.2,114.9,-70.1,5716,0.71,0.48
80.7,14.3,-32.2,5717,0.45,0.81
-10.9,12.1,69.9,5718,0.44,0.71
11.3,32.7,89.1,5719,0.45,0.49
34.9,22.1,39.8,5720,0.44,0.49
77.9,34.0,5.0,5721,0.48,0.49
19.8,36.6,83.0,5722,0.44,0.63
38.6,36.1,57.2,5723,0.44,0.48
61.9,44.1,21.7,5724,0.61,0.48
40.6,30.9,52.4,5725,0.44,0.61
32.2,31.9,59.0,5726,0.44,0.61
-38.0,27.0,109.1,5727,0.46,0.48
50.1,28.6,53.0,5728,0.48,0.48
-18.8,17.8,90.8,5729,0.44,0.72
36.3,33.8,57.5,5730,0.44,0.5
-9.3,63.7,75.7,5731,0.44,0.61
24.7,54.1,25.1,5732,0.46,0.48
72.4,75.0,-34.2,5733,0.44,0.7
48.0,31.1,56.3,5734,0.45,0.48
3.2,49.5,92.8,5735,0.58,0.5
-13.9,23.4,86.8,5736,0.44,0.51
29.9,20.1,23.7,5737,0.44,0.49
17.1,8.5,34.4,5738,0.44,0.8
68.9,19.5,-9.1,5739,0.44,0.74
59.6,25.1,38.5,5740,0.44,0.5
45.7,33.6,27.8,5741,0.44,0.5
53.0,18.9,17.9,5742,0.44,0.52
23.9,35.5,82.5,5743,0.45,0.61
84.1,21.2,-31.7,5744,0.44,0.58
29.6,38.3,64.6,5745,0.45,0.48
66.9,29.2,25.7,5746,0.44,0.5
76.8,12.7,-25.1,5747,0.44,0.77
67.9,31.9,27.2,5748,0.45,0.48
24.7,35.7,65.8,5749,0.45,0.48
38.6,22.4,24.8,5750,0.44,0.48
12.4,27.9,86.8,5751,0.52,0.63
11.2,36.2,84.6,5752,0.45,0.53
48.8,41.1,39.9,5753,0.44,0.48
59.3,25.7,29.5,5754,0.44,0.57
32.9,24.4,41.0,5755,0.44,0.49
-18.1,33.1,110.3,5756,0.44,0.58
67.9,32.9,16.0,5757,0.44,0.48
68.1,81.3,-21.8,5758,0.45,0.5
24.8,18.9,43.3,5759,0.44,0.69
64.4,16.4,-1.7,5760,0.44,0.66
9.3,23.0,87.7,5761,0.62,0.62
10.2,42.3,63.9,5762,0.71,0.49
73.9,20.1,-8.7,5763,0.44,0.73
39.7,29.6,57.2,5764,0.44,0.48
65.9,57.6,-16.2,5765,0.79,0.48
84.6,16.3,-26.0,5766,0.44,0.65
86.0,28.1,-3.3,5767,0.63,0.48
64.2,27.0,36.5,5768,0.44,0.48
29.6,29.6,50.5,5769,0.44,0.49
12.2,31.3,87.2,5770,0.45,0.49
37.7,19.9,41.9,5771,0.44,0.48
-16.3,31.5,99.1,5772,0.62,0.48
34.2,49.0,55.6,5773,0.45,0.48
74.8,16.3,-9.7,5774,0.44,0.72
40.9,29.5,36.7,5775,0.44,0.48
29.4,37.2,62.5,5776,0.44,0.48
33.8,29.1,61.2,5777,0.44,0.48
69.1,13.6,-9.1,5778,0.44,0.65
27.4,15.0,49.0,5779,0.44,0.67
-5.2,18.0,91.1,5780,0.66,0.64
27.0,33.9,52.2,5781,0.44,0.49
28.9,30.4,67.4,5782,0.44,0.48
12.4,28.5,92.1,5783,0.45,0.49
22.6,13.2,57.2,5784,0.44,0.61
83.8,25.6,-3.7,5785,0.44,0.65
5.0,20.1,81.4,5786,0.45,0.49
14.2,29.6,93.2,5787,0.45,0.49
11.0,53.1,97.8,5788,0.55,0.49
60.4,73.4,-6.6,5789,0.55,0.48
0.7,17.2,78.6,5790,0.44,0.51
26.8,27.0,58.3,5791,0.45,0.58
93.9,59.3,-14.8,5792,0.59,0.48
62.3,14.4,-17.3,5793,0.44,0.83
66.5,17.4,-14.5,5794,0.44,0.48
21.0,22.1,63.3,5795,0.44,0.48
39.0,37.6,58.1,5796,0.45,0.48
42.2,6.7,18.0,5797,0.44,0.79
43.7,21.7,26.0,5798,0.44,0.55
13.6,32.8,88.7,5799,0.45,0.49
26.1,10.1,30.6,5800,0.44,0.69
51.4,21.7,22.5,5801,0.44,0.48
43.1,24.0,36.8,5802,0.44,0.51
33.4,32.0,57.4,5803,0.44,0.59
58.9,36.6,16.3,5804,0.44,0.62
42.2,23.2,34.1,5805,0.44,0.5
-2.2,25.3,98.4,5806,0.44,0.49
49.8,38.2,53.8,5807,0.45,0.48
50.7,12.9,4.4,5808,0.44,0.57
1.6,25.2,55.2,5809,0.45,0.48
-19.9,30.1,109.9,5810,0.69,0.51
56.9,33.4,29.4,5811,0.44,0.51
-13.4,70.5,65.1,5812,0.44,0.52
85.2,22.4,-5.9,5813,0.44,0.68
59.0,26.3,28.0,5814,0.44,0.62
23.5,26.6,58.1,5815,0.44,0.48
7.4,28.2,89.6,5816,0.44,0.52
51.0,21.4,10.0,5817,0.44,0.5
62.7,22.4,22.8,5818,0.44,0.52
7.5,17.5,75.3,5819,0.44,0.5
32.0,30.8,60.8,5820,0.44,0.48
-41.9,25.4,117.9,5821,0.44,0.49
51.0,26.9,12.7,5822,0.44,0.48
13.7,41.7,86.1,5823,0.48,0.5
-17.4,32.2,120.7,5824,0.44,0.49
31.2,18.3,49.7,5825,0.44,0.49
53.2,40.8,40.5,5826,0.44,0.49
79.3,22.5,-13.4,5827,0.44,0.58
47.0,30.4,48.9,5828,0.44,0.48
44.7,17.2,36.0,5829,0.44,0.61
55.4,19.8,24.4,5830,0.44,0.51
13.7,22.9,62.0,5831,0.44,0.51
58.0,22.1,26.6,5832,0.44,0.51
82.1,30.2,-6.8,5833,0.44,0.7
-19.7,72.3,66.7,5834,0.44,0.57
-41.0,13.5,85.3,5835,0.44,0.5
22.9,27.9,60.3,5836,0.45,0.5
50.8,23.2,29.5,5837,0.44,0.49
4.2,7.3,45.5,5838,0.44,0.73
86.6,23.9,-8.2,5839,0.45,0.51
32.5,35.4,59.7,5840,0.44,0.5
-16.0,18.8,98.7,5841,0.44,0.67
25.0,17.1,57.3,5842,0.44,0.62
60.3,26.6,30.0,5843,0.44,0.48
50.9,14.8,11.2,5844,0.44,0.53
43.9,28.8,46.5,5845,0.44,0.49
12.9,31.2,93.5,5846,0.45,0.49
70.0,19.9,0.9,5847,0.44,0.7
44.3,21.2,40.3,5848,0.44,0.51
62.3,16.8,-17.8,5849,0.44,0.49
76.7,27.7,-36.7,5850,0.44,0.65
14.7,23.0,64.6,5851,0.44,0.51
24.9,25.2,53.0,5852,0.44,0.5
43.5,32.7,33.3,5853,0.44,0.48
-11.0,56.8,112.9,5854,0.65,0.51
-9.6,29.2,108.2,5855,0.44,0.48
27.4,25.8,65.2,5856,0.44,0.48
-11.2,75.0,41.7,5857,0.46,0.49
38.1,29.0,52.7,5858,0.44,0.48
22.7,26.1,69.9,5859,0.61,0.48
18.7,29.1,90.3,5860,0.55,0.48
36.7,26.2,52.9,5861,0.44,0.56
-50.9,62.4,79.7,5862,0.44,0.66
-23.2,42.7,133.9,5863,0.45,0.48
30.5,20.5,54.1,5864,0.44,0.5
43.4,23.8,27.8,5865,0.44,0.49
-72.0,44.6,30.1,5866,0.44,0.75
34.3,25.3,57.6,5867,0.44,0.48
36.0,15.1,34.5,5868,0.44,0.49
-20.0,23.6,106.7,5869,0.44,0.49
13.3,32.9,82.8,5870,0.45,0.56
67.1,27.8,21.1,5871,0.44,0.48
48.3,27.1,51.0,5872,0.44,0.48
35.1,43.7,59.8,5873,0.45,0.48
25.4,22.4,57.3,5874,0.44,0.49
59.2,29.9,31.5,5875,0.45,0.49
51.4,15.7,22.2,5876,0.44,0.48
77.5,25.6,-2.8,5877,0.44,0.62
75.3,20.9,-8.8,5878,0.44,0.55
35.6,25.0,55.4,5879,0.44,0.49
-0.5,18.2,82.3,5880,0.44,0.48
54.0,14.3,4.5,5881,0.44,0.5
-29.4,47.7,51.5,5882,0.45,0.48
67.0,75.8,0.0,5883,0.44,0.48
6.2,24.5,83.7,5884,0.44,0.67
-25.4,17.0,99.0,5885,0.46,0.64
41.3,33.5,46.4,5886,0.44,0.48
42.3,76.0,16.4,5887,0.45,0.5
124.8,-49.4,-40.0,5888,0.44,0.48
31.3,12.3,32.5,5889,0.44,0.66
77.6,31.7,12.7,5890,0.44,0.48
30.2,29.9,72.8,5891,0.45,0.48
80.8,26.4,-27.3,5892,0.45,0.49
54.1,24.5,29.5,5893,0.44,0.48
-5.4,35.1,94.4,5894,0.44,0.48
30.8,42.9,46.8,5895,0.44,0.51
1.9,20.8,84.3,5896,0.45,0.48
21.4,52.3,34.4,5897,0.44,0.48
3.0,34.2,110.5,5898,0.44,0.5
51.1,24.6,37.2,5899,0.44,0.62
53.2,13.2,3.4,5900,0.44,0.51
60.1,25.3,26.5,5901,0.44,0.57
42.6,25.9,55.8,5902,0.48,0.48
54.1,18.7,-1.7,5903,0.44,0.69
73.8,27.4,15.5,5904,0.44,0.51
74.7,30.4,8.2,5905,0.44,0.61
20.2,16.5,59.2,5906,0.44,0.65
-23.2,31.3,114.0,5907,0.44,0.59
53.2,34.6,26.1,5908,0.45,0.48
35.9,20.4,40.4,5909,0.44,0.5
63.4,50.9,-7.1,5910,0.74,0.48
39.5,28.6,57.9,5911,0.44,0.48
-21.2,15.9,101.7,5912,0.69,0.5
75.4,21.9,1.8,5913,0.44,0.56
8.7,32.6,101.5,5914,0.6,0.49
53.6,90.3,-23.8,5915,0.45,0.48
6.0,19.4,74.7,5916,0.44,0.5
62.1,42.1,6.6,5917,0.73,0.48
38.8,73.3,46.2,5918,0.46,0.49
7.4,47.2,101.3,5919,0.46,0.49
32.7,29.0,57.0,5920,0.44,0.5
-29.5,56.7,61.3,5921,0.44,0.49
55.0,18.1,16.0,5922,0.44,0.65
70.3,8.7,-17.1,5923,0.44,0.79
6.8,18.0,61.2,5924,0.44,0.68
30.7,42.8,55.3,5925,0.45,0.48
18.5,13.7,46.4,5926,0.44,0.68
53.3,13.0,20.0,5927,0.44,0.64
34.4,29.2,61.6,5928,0.44,0.5
57.8,22.0,22.9,5929,0.44,0.66
14.7,21.4,61.5,5930,0.45,0.48
79.5,29.9,-4.8,5931,0.44,0.72
-23.0,31.4,123.8,5932,0.44,0.61
-15.1,28.8,101.9,5933,0.44,0.5
32.9,32.4,61.7,5934,0.45,0.48
12.2,29.9,86.5,5935,0.6,0.48
55.7,19.0,25.3,5936,0.44,0.5
64.7,43.0,-0.0,5937,0.44,0.48
28.1,26.0,60.9,5938,0.44,0.48
-0.8,25.6,95.1,5939,0.44,0.59
50.5,34.5,40.4,5940,0.45,0.49
-20.9,10.7,84.0,5941,0.44,0.71
99.3,30.0,-24.5,5942,0.53,0.64
15.7,36.9,95.6,5943,0.45,0.49
85.6,40.0,-6.0,5944,0.44,0.48
6.3,13.8,70.2,5945,0.44,0.48
38.7,26.0,40.1,5946,0.44,0.5
-17.4,70.3,14.7,5947,0.44,0.49
72.8,59.1,4.5,5948,0.61,0.48
10.8,17.0,65.6,5949,0.44,0.49
0.0,19.0,86.1,5950,0.44,0.48
-23.3,19.2,95.4,5951,0.44,0.73
67.6,24.2,11.0,5952,0.44,0.48
3.6,39.4,92.8,5953,0.67,0.5
2.8,20.4,85.0,5954,0.44,0.49
76.7,21.7,1.7,5955,0.44,0.49
61.9,25.3,18.9,5956,0.44,0.48
59.6,27.0,36.0,5957,0.44,0.48
-2.4,42.3,56.9,5958,0.44,0.49
40.0,20.0,36.8,5959,0.44,0.49
24.1,27.1,54.5,5960,0.44,0.51
48.4,42.2,25.6,5961,0.49,0.48
18.3,16.5,58.9,5962,0.44,0.6
-36.4,30.7,123.7,5963,0.44,0.51
19.1,27.2,76.5,5964,0.45,0.49
25.9,25.5,67.4,5965,0.44,0.53
40.0,28.4,62.3,5966,0.49,0.48
28.9,25.9,61.6,5967,0.44,0.57
-15.4,23.2,88.8,5968,0.44,0.66
20.3,22.2,66.9,5969,0.45,0.49
9.1,47.2,92.7,5970,0.45,0.5
-75.8,18.4,9.6,5971,0.44,0.72
22.1,18.1,45.9,5972,0.44,0.5
47.3,16.9,10.0,5973,0.44,0.49
70.5,23.4,-26.2,5974,0.45,0.48
69.7,60.2,1.9,5975,0.44,0.48
4.2,47.2,100.8,5976,0.45,0.49
63.6,26.2,20.1,5977,0.44,0.63
-4.8,31.6,101.8,5978,0.44,0.48
60.9,38.0,13.6,5979,0.51,0.49
-79.9,33.5,80.7,5980,0.44,0.49
51.1,21.5,4.8,5981,0.44,0.62
56.5,19.3,24.9,5982,0.44,0.48
50.5,25.6,43.0,5983,0.44,0.49
-16.3,30.1,119.8,5984,0.49,0.49
18.7,20.2,52.6,5985,0.44,0.5
67.8,28.6,23.3,5986,0.44,0.48
24.9,28.8,36.8,5987,0.44,0.62
-12.1,61.4,104.2,5988,0.48,0.67
26.1,33.2,69.1,5989,0.63,0.49
70.1,19.6,0.4,5990,0.44,0.82
23.6,9.1,35.5,5991,0.44,0.61
42.0,21.9,31.2,5992,0.44,0.48
-7.5,17.6,85.0,5993,0.44,0.64
26.3,25.0,48.6,5994,0.45,0.65
34.4,18.4,48.1,5995,0.44,0.51
25.8,25.4,64.6,5996,0.44,0.51
58.7,19.7,4.1,5997,0.44,0.51
-20.1,18.1,94.9,5998,0.44,0.68
68.5,32.1,14.8,5999,0.44,0.48
-2.8,23.9,97.3,6000,0.44,0.64
28.3,60.4,51.7,6001,0.44,0.5
54.1,13.6,12.7,6002,0.44,0.74
17.0,17.2,61.3,6003,0.44,0.5
26.5,30.6,69.6,6004,0.44,0.48
17.5,26.5,86.4,6005,0.45,0.62
65.7,22.7,1.7,6006,0.44,0.48
-16.4,24.8,86.5,6007,0.44,0.67
48.6,25.3,41.1,6008,0.44,0.5
32.8,37.9,68.4,6009,0.46,0.5
60.2,12.3,-8.3,6010,0.44,0.76
28.8,35.3,28.9,6011,0.44,0.48
26.4,39.4,74.2,6012,0.45,0.48
-33.4,49.9,109.3,6013,0.44,0.49
1.4,16.3,79.1,6014,0.44,0.48
46.2,23.6,38.3,6015,0.44,0.5
87.7,26.1,-23.4,6016,0.44,0.73
63.8,28.1,31.3,6017,0.44,0.48
36.5,26.5,60.5,6018,0.49,0.48
-68.8,6.7,102.6,6019,0.44,0.5
